iter	Passed	Remaining
1152	52270	15731
1153	52297	15680
1154	52300	15622
1155	52323	15570
1156	52351	15519
1157	52376	15468
1158	52401	15417
1159	52426	15366
1160	52452	15315
1161	52476	15264
1162	52501	15213
1163	52526	15162
1164	52552	15111
1165	52578	15061
1166	52602	15010
1167	52627	14959
1168	52651	14908
1169	52677	14857
1170	52702	14807
1171	52728	14756
1172	52754	14706
1173	52778	14655
1174	52803	14605
1175	52827	14554
1176	52853	14504
1177	52879	14454
1178	52905	14404
1179	52929	14353
1180	52943	14300
1181	52968	14250
1182	52992	14200
1183	53016	14149
1184	53041	14099
1185	53066	14049
1186	53091	13999
1187	53116	13949
1188	53142	13900
1189	53166	13850
1190	53190	13800
1191	53215	13750
1192	53239	13700
1193	53264	13650
1194	53288	13600
1195	53290	13545
1196	53315	13495
1197	53340	13446
1198	53368	13397
1199	53393	13348
1200	53417	13298
1201	53446	13250
1202	53471	13201
1203	53495	13151
1204	53518	13102
1205	53544	13053
1206	53570	13004
1207	53596	12955
1208	53622	12906
1209	53646	12857
1210	53671	12808
1211	53696	12759
1212	53721	12710
1213	53747	12662
1214	53772	12613
1215	53798	12564
1216	53824	12516
1217	53852	12468
1218	53877	12419
1219	53890	12368
1220	53915	12319
1221	53940	12271
1222	53963	12222
1223	53989	12174
1224	54014	12125
1225	54039	12077
1226	54062	12028
1227	54087	11980
1228	54111	11931
1229	54136	11883
1230	54163	11835
1231	54186	11787
1232	54213	11739
1233	54238	11691
1234	54265	11643
1235	54289	11595
1236	54313	11547
1237	54338	11499
1238	54365	11452
1239	54389	11404
1240	54414	11356
1241	54439	11308
1242	54462	11260
1243	54486	11212
1244	54513	11165
1245	54538	11117
1246	54550	11067
1247	54575	11019
1248	54600	10972
1249	54624	10924
1250	54650	10877
1251	54676	10830
1252	54701	10783
1253	54714	10733
1254	54739	10686
1255	54763	10638
1256	54789	10591
1257	54813	10544
1258	54837	10497
1259	54861	10449
1260	54886	10402
1261	54912	10355
1262	54937	10309
1263	54963	10262
1264	54987	10215
1265	54990	10164
1266	55014	10117
1267	55039	10070
1268	55063	10023
1269	55089	9976
1270	55114	9930
1271	55138	9883
1272	55151	9834
1273	55177	9788
1274	55201	9741
1275	55226	9694
1276	55251	9648
1277	55275	9601
1278	55300	9555
1279	55324	9508
1280	55349	9462
1281	55374	9416
1282	55400	9370
1283	55425	9323
1284	55448	9277
1285	55473	9231
1286	55499	9185
1287	55525	9139
1288	55527	9089
1289	55551	9043
1290	55575	8997
1291	55599	8950
1292	55624	8905
1293	55649	8859
1294	55674	8813
1295	55699	8767
1296	55723	8721
1297	55748	8675
1298	55773	8630
1299	55797	8584
1300	55822	8538
1301	55823	8489
1302	55847	8443
1303	55871	8397
1304	55896	8352
1305	55920	8306
1306	55945	8261
1307	55968	8215
1308	55993	8170
1309	56016	8124
1310	56043	8079
1311	56069	8034
1312	56093	7988
1313	56118	7943
1314	56144	7898
1315	56168	7853
1316	56194	7808
1317	56196	7760
1318	56220	7714
1319	56245	7669
1320	56269	7624
1321	56293	7579
1322	56318	7534
1323	56347	7490
1324	56370	7445
1325	56394	7400
1326	56418	7355
1327	56444	7310
1328	56471	7266
1329	56495	7221
1330	56520	7176
1331	56546	7131
1332	56571	7087
1333	56594	7042
1334	56620	6997
1335	56645	6953
1336	56670	6908
1337	56695	6864
1338	56720	6820
1339	56744	6775
1340	56768	6730
1341	56793	6686
1342	56816	6641
1343	56840	6597
1344	56864	6553
1345	56889	6508
1346	56914	6464
1347	56937	6420
1348	56960	6375
1349	56973	6330
1350	56998	6286
1351	57024	6242
1352	57049	6198
1353	57076	6154
1354	57101	6110
1355	57126	6066
1356	57151	6022
1357	57175	5978
1358	57202	5934
1359	57227	5891
1360	57251	5847
1361	57275	5803
1362	57300	5759
1363	57326	5715
1364	57350	5672
1365	57375	5628
1366	57398	5584
1367	57424	5540
1368	57447	5497
1369	57472	5453
1370	57496	5409
1371	57522	5366
1372	57546	5322
1373	57570	5279
1374	57594	5235
1375	57620	5192
1376	57645	5149
1377	57670	5105
1378	57693	5062
1379	57718	5019
1380	57742	4975
1381	57767	4932
1382	57790	4889
1383	57815	4845
1384	57840	4802
1385	57864	4759
1386	57888	4716
1387	57914	4673
1388	57938	4630
1389	57962	4586
1390	57986	4543
1391	58011	4500
1392	58036	4457
1393	58062	4415
1394	58086	4372
1395	58111	4329
1396	58135	4286
1397	58160	4243
1398	58186	4200
1399	58210	4157
1400	58234	4115
1401	58260	4072
1402	58286	4029
1403	58310	3987
1404	58333	3944
1405	58360	3901
1406	58385	3859
1407	58410	3816
1408	58435	3774
1409	58460	3731
1410	58485	3689
1411	58509	3646
1412	58535	3604
1413	58559	3561
1414	58583	3519
1415	58596	3476
1416	58621	3433
1417	58647	3391
1418	58673	3349
1419	58698	3306
1420	58723	3264
1421	58747	3222
1422	58773	3180
1423	58779	3137
1424	58803	3094
1425	58827	3052
1426	58851	3010
1427	58876	2968
1428	58901	2926
1429	58924	2884
1430	58949	2842
1431	58974	2800
1432	59000	2758
1433	59025	2716
1434	59049	2674
1435	59074	2632
1436	59101	2591
1437	59127	2549
1438	59151	2507
1439	59158	2464
1440	59184	2423
1441	59208	2381
1442	59233	2339
1443	59257	2298
1444	59281	2256
1445	59304	2214
1446	59329	2173
1447	59332	2130
1448	59356	2089
1449	59382	2047
1450	59406	2006
1451	59431	1964
1452	59455	1923
1453	59479	1881
1454	59505	1840
1455	59517	1798
1456	59542	1757
1457	59566	1715
1458	59591	1674
1459	59616	1633
1460	59641	1592
1461	59668	1550
1462	59693	1509
1463	59717	1468
1464	59742	1427
1465	59767	1386
1466	59771	1344
1467	59797	1303
1468	59824	1262
1469	59848	1221
1470	59871	1180
1471	59895	1139
1472	59922	1098
1473	59947	1057
1474	59973	1016
1475	59996	975
1476	60020	934
1477	60046	893
1478	60072	852
1479	60097	812
1480	60123	771
1481	60147	730
1482	60171	689
1483	60195	649
1484	60219	608
1485	60243	567
1486	60270	526
1487	60276	486
1488	60301	445
1489	60327	404
1490	60352	364
1491	60379	323
1492	60403	283
1493	60428	242
1494	60454	202
1495	60477	161
1496	60502	121
1497	60526	80
1498	60551	40
1499	60576	0
